鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
松山區,土地,敦化段一小段241~270地號,491.0,住,,,10107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,193089000,393257,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區文德路22巷74弄1~30號,25.53,住,,,10301,土地3建物1車位0,三層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,64.02,2,2,1,有,無,11050000,172602,,0.0,0
中山區,房地(土地+建物),臺北市中山區建國北路二段91~120號,24.04,住,,,10301,土地1建物1車位0,十一層,012,辦公商業大樓,商業用,鋼筋混凝土造,0731221,173.67,4,1,1,有,有,35000000,201532,,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路五段391~420號,34.43,住,,,10302,土地3建物1車位1,四層,019,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891016,141.82,3,2,2,有,有,27500000,193908,坡道平面,0.0,0
內湖區,土地,文德段二小段31~60地號,2185.0,其他,,,10303,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14300000,6545,,0.0,0
文山區,房地(土地+建物),臺北市文山區萬盛街156巷1~30號,16.19,住,,,10302,土地1建物1車位0,四層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790919,54.660000000000004,3,2,1,有,無,8300000,151848,,0.0,0
大安區,土地,仁愛段一小段481~510地號,607.45,其他,,,10212,土地11建物0車位0,,,其他,,,,0.0,0,0,0,有,無,36260000,59692,,0.0,0
大安區,房地(土地+建物),臺北市大安區仁愛路四段211~240號,5.26,住,,,10302,土地2建物1車位0,九層,012,套房(1房1廳1衛),住家用,鋼筋混凝土造,0670912,36.35,1,1,1,有,有,8460000,232737,,0.0,0
大安區,房地(土地+建物),臺北市大安區仁愛路四段211~240號,6.67,住,,,10302,土地2建物1車位0,九層,012,套房(1房1廳1衛),住家用,鋼筋混凝土造,0670912,49.68,1,1,1,有,有,11540000,232287,,0.0,0
大安區,房地(土地+建物),臺北市大安區華聲里延吉街91~120號,28.5,住,,,10211,土地1建物1車位0,三層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750723,156.8,4,2,2,有,有,39500000,251913,,0.0,0
大安區,土地,復興段三小段241~270地號,4.07,其他,,,10302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,364692,89605,,0.0,0
大安區,房地(土地+建物),臺北市大安區和平東路三段1~30號,10.12,商,,,10301,土地1建物1車位0,五層,012,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0760910,98.75999999999999,2,2,1,有,有,20500000,207574,,0.0,0
